date,state,sentiment
20200805,AR,0.2831
20200806,AR,0
20200807,AR,0
20200808,AR,0.4526
20200809,AR,0.167233333
20200810,AR,0.488433333
20200811,AR,0.6477
20200812,AR,0.74315
20200813,AR,-0.166366667
20200814,AR,0.770433333
20200815,AR,0.9336
20200816,AR,0.128
20200817,AR,0.605766667
20200818,AR,0.479233333
20200819,AR,0
20200820,AR,-0.099
20200821,AR,0.401
20200822,AR,0.507875
20200823,AR,0
20200824,AR,0.37806
20200825,AR,0.0522
20200826,AR,0
20200827,AR,0.837
20200828,AR,0.4404
20200829,AR,0.67125
20200830,AR,0
20200831,AR,0
20200901,AR,0.10705
20200902,AR,0.3182
20200903,AR,0
20200904,AR,0.3956
20200905,AR,0.3164
20200906,AR,0.615666667
20200907,AR,0.75325
20200908,AR,0.513366667
20200909,AR,0
20200910,AR,0
20200911,AR,0
20200912,AR,-0.041166667
20200913,AR,0
20200914,AR,0.6996
20200915,AR,0
20200916,AR,-0.296
20200917,AR,0
20200918,AR,0.7003
20200919,AR,0.9344
20200920,AR,0
20200921,AR,0
20200922,AR,0.5719
20200923,AR,0
20200924,AR,0
20200925,AR,0.957
20200926,AR,0.2463
20200927,AR,0.5859
20200928,AR,-0.6489
20200929,AR,0
20200930,AR,0
20201001,AR,0
20201002,AR,0
20201003,AR,0
20201004,AR,0.933
20201005,AR,0
20201006,AR,0
20201007,AR,0
20201008,AR,0
20201009,AR,0.6597
20201010,AR,0.3182
20201011,AR,0
20201012,AR,0.8411
20201013,AR,0.7644
20201014,AR,0.7326
20201015,AR,0
20201016,AR,0
20201017,AR,0.6783
20201018,AR,0.4086
20201019,AR,0.7845
20201020,AR,0
20201021,AR,0
20201022,AR,0
20201023,AR,0
20201024,AR,0
20201025,AR,0.8658
20201026,AR,0
20201027,AR,0
20201028,AR,0
20201029,AR,0.60565
20201030,AR,0
20201031,AR,0.8666
20201101,AR,-0.145
20201102,AR,0
20201103,AR,0
20201104,AR,-0.5473
20201105,AR,0
20201106,AR,0
20201107,AR,0
20201108,AR,0
20201109,AR,0
20201110,AR,0.5106
20201111,AR,0
20201112,AR,0
20201113,AR,0.4184
20201114,AR,0
20201115,AR,0
20201116,AR,0
20201117,AR,0.8617
20201118,AR,0.6892
20201119,AR,0.2225
20201120,AR,0
20201121,AR,0
20201122,AR,0.3842
20201123,AR,0
20201124,AR,0
20201125,AR,0.3595
20201126,AR,0.32985
20201127,AR,0
20201128,AR,0
20201129,AR,0.8118
20201130,AR,0.4003
20201201,AR,0
20201202,AR,0
20201203,AR,0
20201204,AR,0.4019
20201205,AR,0.8074
20201206,AR,0
20201207,AR,0
20201208,AR,0.9646
20201209,AR,0.2913
20201210,AR,0
20201211,AR,0
20201212,AR,0
20201213,AR,0.7163
20201214,AR,0
20201215,AR,0
20201216,AR,0
20201217,AR,0.1589
20201218,AR,0.44775
20201219,AR,-0.0772
20201220,AR,0.6392
20201221,AR,0
20201222,AR,0.05135
20201223,AR,0
20201224,AR,0
20201225,AR,0.2732
20201226,AR,0
20201227,AR,0
20201228,AR,0.7003
20201229,AR,0.3612
20201230,AR,0
20210101,AR,0.8264
20210102,AR,0
20210103,AR,0
20210104,AR,0
20210105,AR,0
20210106,AR,0
20210107,AR,0.1231
20210108,AR,0.5498
20210109,AR,0.1231
20210110,AR,0.58385
20210111,AR,0.8298
20210112,AR,0.680975
20210113,AR,0
20210114,AR,0
20210115,AR,0.8902
20210116,AR,0.2038
20210117,AR,0
20210118,AR,0
20210119,AR,0
20210120,AR,0.3099
20210121,AR,0.1231
20210122,AR,0.6146
20210123,AR,0.1893
20210124,AR,0.8481
20210125,AR,0.765
20210126,AR,0.128
20210127,AR,0
20210128,AR,0.11315
20210129,AR,0.6369
20210130,AR,0.40095
20210131,AR,0.9042
20210201,AR,0
20210202,AR,0
20210203,AR,0
20210204,AR,0.46932
20210205,AR,0.8625
20210206,AR,0
20210207,AR,0
20210208,AR,0.9117
20210209,AR,0.4738
20210210,AR,0.03355
20210211,AR,0
20210212,AR,0.5106
20210213,AR,0
20210214,AR,0
20210215,AR,0.641433333
20210216,AR,0.3442
20210217,AR,-0.6705
20210218,AR,0
20210219,AR,0
20210220,AR,0
20210221,AR,0.4574
20210222,AR,0
20210223,AR,0
20210224,AR,0.9274
20210225,AR,0
20210226,AR,0.6175
20210227,AR,0
20210228,AR,-0.1779
20210301,AR,0
20210302,AR,0
20210303,AR,0
20210304,AR,0
20210305,AR,0.882
20210306,AR,0
20210307,AR,0.6696
20210308,AR,0
20210309,AR,0
20210310,AR,0.25725
20210311,AR,0
20210312,AR,0
20210313,AR,0
20210314,AR,0
20210315,AR,-0.6249
20210316,AR,-0.5574
20210317,AR,0.486933333
20210318,AR,0
20210319,AR,0
20210320,AR,0.74395
20210321,AR,0
20210322,AR,0.9001
20200320,AZ,0.4961
20200321,AZ,0.34802
20200322,AZ,0.6125875
20200323,AZ,0.560175
20200324,AZ,0.27142
20200325,AZ,0
20200326,AZ,-0.2846
20200327,AZ,0.41085
20200328,AZ,0.55085
20200330,AZ,0.1289
20200331,AZ,0.557225
20200401,AZ,0.21665
20200402,AZ,0.414683333
20200403,AZ,0.446233333
20200404,AZ,0.237125
20200405,AZ,0.21116
20200406,AZ,0.4286
20200407,AZ,-0.2553
20200408,AZ,-0.5252
20200409,AZ,0.401366667
20200410,AZ,0.2295
20200411,AZ,0.9237
20200412,AZ,0.154233333
20200413,AZ,0.0405
20200414,AZ,0
20200415,AZ,-0.4455
20200416,AZ,0.443133333
20200417,AZ,0.5113
20200418,AZ,-0.152466667
20200419,AZ,0
20200420,AZ,0.339418182
20200421,AZ,0.47098
20200422,AZ,0.29144
20200423,AZ,0.45664
20200424,AZ,0.340428571
20200425,AZ,0.0593
20200426,AZ,0.532733333
20200427,AZ,0.46334
20200428,AZ,-0.003857143
20200429,AZ,0.327675
20200430,AZ,0.2525875
20200501,AZ,0.354230769
20200502,AZ,0.252566667
20200503,AZ,0.202816667
20200504,AZ,0.486085714
20200505,AZ,0.371775
20200506,AZ,0.1188
20200507,AZ,0.2561
20200508,AZ,0.56265
20200509,AZ,0.687425
20200510,AZ,0.56685
20200511,AZ,0.477828571
20200512,AZ,-0.170383333
20200513,AZ,0.419257143
20200514,AZ,0.17835
20200515,AZ,0.006033333
20200516,AZ,0.522533333
20200517,AZ,0.367785714
20200518,AZ,0.428783333
20200519,AZ,-0.098925
20200520,AZ,0.5264
20200521,AZ,0.222966667
20200522,AZ,0.22344
20200523,AZ,0.012783333
20200524,AZ,0.04915
20200525,AZ,0.2868
20200526,AZ,0.301671429
20200527,AZ,0.590925
20200528,AZ,-0.0742
20200529,AZ,0.248888889
20200530,AZ,0.336533333
20200531,AZ,0.3832
20200601,AZ,0.32324
20200602,AZ,-0.16096
20200603,AZ,0.926
20200604,AZ,0.391085714
20200605,AZ,0.3619
20200606,AZ,0.671475
20200607,AZ,-0.1237
20200608,AZ,0
20200609,AZ,0.706525
20200610,AZ,0.435555556
20200611,AZ,0.4228
20200612,AZ,0.6433
20200613,AZ,0.276425
